Question,A,B,C,D,Answer
Quiz #1,,,,,
A male patient complains of right arm weakness and tingling of two weeks duration. Which of these would not important in further history follow up?,He slipped and fell on his outstretched hand one week ago,His job requires overhead work,He lifts weights every day,He always sleeps on his right side,He slipped and fell on his outstretched hand one week ago
A 16 year old breaks out in total body hives. Which question below is clinically significant?,Are you taking any new medications,Is there a family history of hives,Do you have frequent blackout spells,Are you sexually active,Are you taking any new medications
A young male comes into the office with a complaint of low back pain occurring after he tried to lift a heavy box. Which question should be asked immediately?,What is the location of your pain,Can you lift your arms above your head,Have you ever seen a chiropractor before,Do you have insurance,What is the location of your pain
During a history the patient is asked about hobbies. What should this information not be used for?,To determine injury status,To determine patient mental status,Goal setting,Developing doctor patient rapport,To determine injury status
A 46 year old man complains of difficulty breathing with barrel chest. He says that leaning on a desk helps him breathe. Which of these questions is most appropriate as a follow up?,Have you had exposure to dust or particulate matter,Do you experience blackouts,Does the pain radiate into your neck or arm,Do you have difficulty with urinary stream,Have you had exposure to dust or particulate matter
A young female presents with pain in her hand and tender nodules at the end of her digits that are aggravated by stress and cold. She occasionally has red ulcers. Which question will best aid in the formulation of the diagnosis?,Do you smoke,Do you work with your wrist flexed,How often do you drink alcohol,Do you urinate a lot,Do you smoke
Which of these questions should be asked of a patient when inquiring about a lung ailment?,Do you suffer from dyspnea,Do you have any shortness of breath,Do you have lung cancer,Are your lungs normal,Do you have any shortness of breath
"A 14 year old patient presents with mottled teeth, which is the most appropriate line of questioning?",What is the dietary intake of calcium,What is the source of drinking water,Does the patient crave certain foods,What is the dietary intake of fats,What is the source of drinking water
Which part of the history involves description of the circumstances surrounding the patient’s primary reason for consulting a health care provider?,Past medical history,Family history,History of present illness,Personal and social history,History of present illness
"A man states he has arthritis, what information do you need in order to diagnose Reiter syndrome?",List of sexual partners,Last sexual encounter,Other related complaints,Contraceptive history,Other related complaints
"When a doctor asks a patient, “what brings you in today?” the doctor is trying elicit the ________.",Social history,Chief complaint,Family history,History,Chief complaint
A woman complains of pain on urination. Which question would be most beneficial in leading toward a diagnosis?,Do you have abdominal pain,Do you a family history of urinary tract infections,Is your urine cloudy,What color is your urine,Is your urine cloudy
A patient presents with subclinical ankylosing spondylitis. Which of these would be the most important component of the case history?,Recreational activities,Family history,Socioeconomic background,Dietary history,Family history
The temporal pattern of a disease or condition is more significant for distinguishing which classification of headaches?,Eyestrain headache,Chronic headache,Post concussion headache,Sinus and orofacial pain syndromes,Chronic headache
A patient complains of pain between the shoulder blades. He states that the pain is often accompanied by belching and often wakes him at night. Which of these questions should be asked in follow up?,Have you been exposed to tuberculosis,How is this complaint affected by eating,Do you exercise regularly,Does a deep inspiration affect the pain,How is this complaint affected by eating
"An affirmative answer to which of these questions, in the case history, suggests malignancy?",Is your pain aggravated by rest,Is your pain aggravated by movement,Do you eat a lot of fatty foods,Do you smoke a lot of cigarettes,Is your pain aggravated by rest
The mode of onset of present complaint includes which of these parameters?,Quality of pain,Chief complaint,Date of injury,Main injury vector,Main injury vector
"After a patient states that his back has been hurting since last Tuesday, what is the next logical question to ask while taking the case history?",Can you touch your toes without pain,What do you think caused your pain,Have you ever seen a chiropractor before,Does your back hurt after eating a large meal,What do you think caused your pain
What is the descriptor the patient uses for pain resulting from a myocardial infarction?,Ripping and tearing,Pressure and squeezing,Sharp and stabbing,Dull and achy,Pressure and squeezing
"When conducting a case history, what is the riskiest type of question an examiner can ask?",A leading question,A direct question,A clarifying question,An open-ended question,A leading question
A 19 year old female is involved in an automobile accident. She has headache with dizziness. Which question will reveal the most important information?,Who was at fault,Were the cars equal size,At what speed did the accident take place,Does the car have a headrest,Does the car have a headrest
"A middle aged woman reports feeling fatigue all the time, has diffuse pain, general stiffness (especially in the morning), irritable bowel syndrome, and occasional tension headaches. Which of these questions would most point toward a diagnosis?",Do you have a family history of osteoarthritis,How long does the stiffness last,Do you have a family history of rheumatoid arthritis,Do you have trigger points in your muscles,Do you have trigger points in your muscles
"A male patient presents with epigastric pain, which question is most relevant?",Does the pain wake you up at night,Are you sensitive to bright lights,Are you sexually active,Do you take any NSAIDs,Do you take any NSAIDs
A 36 year old female presents with fatigue and yellow skin. Her scleras are normal and white. What question should be asked?,Have you eaten a lot of deep colored vegetables lately,What is the condition of your rheumatoid arthritis now,Have you experienced any change in bowel habits,Have you consumed excessive alcohol recently,Have you eaten a lot of deep colored vegetables lately
Which aspect of the patient’s history is normally recorded in the patient’s own words?,Review of systems,Present illness,Chief complaint,Family history,Chief complaint
The statement “my back hurts” corresponds most closely to which aspect of the patient history of a chiropractic patient?,Palliative factor,System review,Quality,Chief complaint,Chief complaint
When a doctor asks a patient “who do you live with?” What information is the doctor seeking?,Vocational history,Emergency contact,Chief complaint,Psycho-social history,Psycho-social history
"A 57 year old male comes in for a regular visit, he reports recent history of urinary discoloration. Which question could prevent a number of useless follow up tests?",Have you been using over the counter laxatives,Have you increased your intake of carbonated beverages,Have you had any recent sexual activity,Do you have any new emotional stress,Have you been using over the counter laxatives
Which question should be asked of a 29 year old who develops dyspnea while climbing stairs?,Do you get shortness of breath while climbing stairs,How many stairs before you have to stop and rest,Are the stairs tall or short,How steep are the stairs,How many stairs before you have to stop and rest
A 28 year old male reports 24 hours after the onset of reddish purple urination. Which of these questions would be most beneficial in determining the etiology?,Ask about recent food and drink,Ask about family history of diabetes,Ask about recent sexual history,Ask about history of bladder infection,Ask about recent food and drink
A patient suffering from congestive heart failure experiences a new complaint of right hypochondrial pain. This new complaint suggests involvement of the _______.,Liver,Spleen,Diaphragm,Pancreas,Liver
Which of these best describes objectivity  during a patient interview?,Multiple interviewers obtaining a similar history,The doctor accurately understands and interprets the patient’s history,The interviewer sets aside preconceived notions about the patient,The doctor is able to arrive at a diagnosis based upon the history,The interviewer sets aside preconceived notions about the patient
"A female patient presents with bulging eyes, dysphagia, nervous tremors, blurred vision, and weight loss. Which part of the case history would be most significant?",Social history,Family history,Dietary habits,Review of systems,Review of systems
A 58 year old patient with heart disease will answer yes to which of these questions?,Does taking a deep breath cause pain,Does the pain last a few seconds then stop,Is the pain shooting or stabbing,Does walking or eating rapidly increase the pain,Does walking or eating rapidly increase the pain
A complaint of tarry stools is suggestive of bleeding in which location?,The pillars of Morgagni,The cecum,An anal fissure,The stomach,The stomach
Which of these is the definition of respect  during a patient interview?,The doctor behaves naturally,The doctor understands the patient’s complaint,The doctor accepts the patient without judgment,The doctor feels empathetic toward the patient suffering,The doctor accepts the patient without judgment
A patient with joint pain states that his father was diagnosed with gout 20 years ago. This information is part of what category of the history?,Review of systems,History of present illness,Past medical history,Family history,Family history
"A 63 year old man walks for four blocks, then must stop and rest due to pain in the right buttock. Which question would lead to a diagnosis of spinal stenosis?",Does the pain increase with right rotation,Does the pain decrease with extension,Does the pain exacerbate while leaning right,Does the pain increase with flexion,Does the pain exacerbate while leaning right
